id,names,artist_names,artist_pop,albums,track_pop,durations_ms,playlist_name
0,Lovin On Me,Jack Harlow,81,Lovin On Me,88,138411,Hot Hits Australia
1,Lil Boo Thang,Paul Russell,64,Lil Boo Thang,86,114234,Hot Hits Australia
2,Got Me Started,Troye Sivan,78,Something To Give Each Other,83,198448,Hot Hits Australia
3,Houdini,Dua Lipa,85,Houdini,90,185918,Hot Hits Australia
4,Water,Tyla,73,Water,96,200256,Hot Hits Australia
5,greedy,Tate McRae,81,greedy,100,131872,Hot Hits Australia
6,Atmosphere,FISHER,68,Atmosphere,78,182857,Hot Hits Australia
7,Paint The Town Red,Doja Cat,86,Scarlet,82,230480,Hot Hits Australia
8,Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,95,For All The Dogs,88,319192,Hot Hits Australia
9,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,86,Zach Bryan,93,227196,Hot Hits Australia
10,Stick Season,Noah Kahan,82,Stick Season,91,182347,Hot Hits Australia
11,Prada,cassö,73,Prada,94,132359,Hot Hits Australia
12,Give You Love (feat. Jason Derulo),Jessica Mauboy,51,Give You Love (feat. Jason Derulo),69,174029,Hot Hits Australia
13,TOO MUCH,The Kid LAROI,80,TOO MUCH,91,203939,Hot Hits Australia
14,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,100,1989 (Taylor's Version),94,229478,Hot Hits Australia
15,Strangers,Kenya Grace,76,Strangers,98,172965,Hot Hits Australia
16,One Of Your Girls,Troye Sivan,78,Something To Give Each Other,88,181482,Hot Hits Australia
17,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,92,Popular (Music from the HBO Original Series),92,215467,Hot Hits Australia
18,Eat Your Man (with Nelly Furtado),Dom Dolla,65,Eat Your Man (with Nelly Furtado),74,197165,Hot Hits Australia
19,BLEED,The Kid LAROI,80,THE FIRST TIME,73,169990,Hot Hits Australia
20,get him back!,Olivia Rodrigo,87,GUTS,89,211141,Hot Hits Australia
21,Can I Shower At Yours,Amy Shark,53,Can I Shower At Yours,64,114004,Hot Hits Australia
22,(It Goes Like) Nanana - Edit,Peggy Gou,70,(It Goes Like) Nanana [Edit],90,231545,Hot Hits Australia
23,Therapy,Budjerah,44,Therapy,63,192103,Hot Hits Australia
24,Calm Down (with Selena Gomez),Rema,77,Calm Down (with Selena Gomez),90,239318,Hot Hits Australia
25,Dance The Night - From Barbie The Album,Dua Lipa,85,Dance The Night (From Barbie The Album),93,176579,Hot Hits Australia
26,Used To Be Young,Miley Cyrus,82,Used To Be Young,81,190461,Hot Hits Australia
27,Rush,Troye Sivan,78,Something To Give Each Other,85,156391,Hot Hits Australia
28,Single Soon,Selena Gomez,81,Single Soon,87,171655,Hot Hits Australia
29,Standing Next to You,Jung Kook,89,GOLDEN,97,206020,Hot Hits Australia
